Name,Execution Order,Suite Order,Run Phase,Suite,Case ID,Area,Test,Expected Result,Platform,Priority,Status,Required Data Set,Estimated Minutes,Owner,Evidence,Actual Result,Severity,Bug Link,Notes
"001 - WSU-001","1","1","Phase 2 - WS-018 Desktop","WS-018","WSU-001","A) Workspace Setup","Create workspace card is understandable and complete in EN.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"002 - WSU-002","2","2","Phase 2 - WS-018 Desktop","WS-018","WSU-002","A) Workspace Setup","Create workspace card is understandable and complete in IT.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"003 - WSU-003","3","3","Phase 2 - WS-018 Desktop","WS-018","WSU-003","A) Workspace Setup","Field validation messages are visible and actionable.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"004 - WSU-004","4","4","Phase 2 - WS-018 Desktop","WS-018","WSU-004","A) Workspace Setup","Step navigation (`Back`/`Next`) is predictable and non-blocking when valid.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"005 - WSU-005","5","5","Phase 2 - WS-018 Desktop","WS-018","WSU-005","A) Workspace Setup","Auto-save/draft resume behavior is visible and understandable.","","Both","P1","Not Started","WS-FRESH","4","","","","","",""
"006 - WSU-006","6","6","Phase 2 - WS-018 Desktop","WS-018","WSU-006","B) Workspace Settings","Secondary tabs (`General`, `Business activities`, `Members`, `AI library`) are discoverable and clearly named.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"007 - WSU-007","7","7","Phase 2 - WS-018 Desktop","WS-018","WSU-007","B) Workspace Settings","`General` tab supports rename/image/update with clear feedback.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"008 - WSU-008","8","8","Phase 2 - WS-018 Desktop","WS-018","WSU-008","B) Workspace Settings","`General` delete-workspace flow communicates risk and confirmation correctly.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"009 - WSU-009","9","9","Phase 2 - WS-018 Desktop","WS-018","WSU-009","B) Workspace Settings","`Business activities` forms are scannable and AI assist actions are clear.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"010 - WSU-010","10","10","Phase 2 - WS-018 Desktop","WS-018","WSU-010","B) Workspace Settings","`Members` list + invite statuses (`pending/accepted/declined/expired/revoked`) are easy to read.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"011 - WSU-011","11","11","Phase 2 - WS-018 Desktop","WS-018","WSU-011","B) Workspace Settings","Invite actions (`resend`, `revoke`) are discoverable and confirmed by feedback.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
"012 - WSU-012","12","12","Phase 2 - WS-018 Desktop","WS-018","WSU-012","B) Workspace Settings","`AI library` document/knowledge tabs are understandable with useful empty states.","","Both","P1","Not Started","WS-OPS","5","","","","","",""
